lat_Alaska,lon_Alaska,lat_Alabama,lon_Alabama,lat_Arkansas,lon_Arkansas,lat_Arizona,lon_Arizona,lat_California,lon_California,lat_Colorado,lon_Colorado,lat_Connecticut,lon_Connecticut,lat_Delaware,lon_Delaware,lat_Florida,lon_Florida,lat_Georgia,lon_Georgia,lat_Hawaii,lon_Hawaii,lat_Iowa,lon_Iowa,lat_Idaho,lon_Idaho,lat_Illinois,lon_Illinois,lat_Indiana,lon_Indiana,lat_Kansas,lon_Kansas,lat_Kentucky,lon_Kentucky,lat_Louisiana,lon_Louisiana,lat_Massachusetts,lon_Massachusetts,lat_Maryland,lon_Maryland,lat_Maine,lon_Maine,lat_Michigan,lon_Michigan,lat_Minnesota,lon_Minnesota,lat_Missouri,lon_Missouri,lat_Mississippi,lon_Mississippi,lat_Montana,lon_Montana,lat_North Carolina,lon_North Carolina,lat_North Dakota,lon_North Dakota,lat_Nebraska,lon_Nebraska,lat_New Hampshire,lon_New Hampshire,lat_New Jersey,lon_New Jersey,lat_New Mexico,lon_New Mexico,lat_Nevada,lon_Nevada,lat_New York,lon_New York,lat_Ohio,lon_Ohio,lat_Oklahoma,lon_Oklahoma,lat_Oregon,lon_Oregon,lat_Pennsylvania,lon_Pennsylvania,lat_Rhode Island,lon_Rhode Island,lat_South Carolina,lon_South Carolina,lat_South Dakota,lon_South Dakota,lat_Tennessee,lon_Tennessee,lat_Texas,lon_Texas,lat_Utah,lon_Utah,lat_Virginia,lon_Virginia,lat_Vermont,lon_Vermont,lat_Washington,lon_Washington,lat_Wisconsin,lon_Wisconsin,lat_West Virginia,lon_West Virginia,lat_Wyoming,lon_Wyoming
71.2249,-159.6313,30.9953,-87.6009,33.6946,-91.1261,32.7457,-114.7014,34.9659,-114.6382,,,42.035,-72.5729,39.3662,-75.461,30.6993,-84.8611,34.4681,-82.8918,22.3386,-159.218,40.9218,-90.9668,46.9728,-115.0433,38.4944,-87.6544,38.7198,-85.442,39.7283,-94.8807,36.9762,-82.8589,32.4588,-91.0904,41.7816,-71.3342,37.9962,-75.6079,45.9368,-70.2493,46.5069,-84.3386,44.7877,-92.7658,39.5464,-91.1096,30.157,-89.4919,44.4181,-112.8296,35.0637,-82.7765,47.5469,-96.8555,40.8138,-95.8447,45.2391,-71.1818,40.5952,-74.2003,,,36.0313,-114.1534,43.1441,-79.0302,39.346,-81.3661,34.1982,-98.9648,46.2369,-123.4287,41.5086,-74.9927,41.9288,-71.3837,32.9465,-81.5117,42.7157,-96.8486,36.1024,-82.1255,30.2591,-104.7437,,,36.9839,-82.8534,45.0138,-71.5059,46.4274,-117.0394,45.3531,-87.1724,39.6205,-78.2817,,
70.6363,-161.8671,30.9423,-87.5926,33.7883,-91.1412,32.7342,-114.6176,34.9107,-114.6286,,,42.035,-72.4026,39.4542,-75.5592,30.6911,-84.4272,34.4443,-82.8589,22.3374,-159.7508,41.1642,-91.0121,46.8677,-114.9472,38.374,-87.778,38.5653,-85.4091,39.8286,-94.893,37.2894,-82.3192,32.4379,-91.0355,41.7529,-71.2628,37.9951,-75.623,45.9597,-70.3098,46.4927,-84.2905,45.3135,-92.7081,39.4022,-90.9558,30.1796,-89.5757,44.3563,-112.8529,35.0817,-82.7861,47.6506,-96.8774,40.9654,-95.8324,45.2478,-71.1584,40.5566,-74.2195,,,36.0136,-114.2468,43.1801,-79.0576,39.4479,-81.1244,34.1232,-98.7424,46.1817,-123.4287,41.4283,-74.7935,42.0156,-71.3795,33.0098,-81.5034,42.5237,-96.622,36.1434,-82.1475,30.0738,-104.6915,,,37.0086,-82.7971,44.9748,-71.5294,46.3498,-117.0621,45.2401,-87.3193,39.6839,-78.2405,,
70.0843,-163.5809,30.8539,-87.6256,33.77,-91.0451,32.7422,-114.5819,34.8758,-114.6382,,,42.0248,-71.7984,39.4908,-75.5578,30.6509,-83.5991,34.2674,-82.749,22.1493,-160.1422,41.2406,-91.1082,46.7201,-114.7865,38.2856,-87.8371,38.4461,-85.5986,39.8823,-94.9342,37.4934,-82.0308,32.3742,-91.0286,41.6719,-71.1914,37.9464,-75.6436,46.0923,-70.2946,46.4951,-84.2651,45.4505,-92.6532,39.245,-90.7306,30.3326,-89.6457,44.4857,-113.0205,34.9996,-83.1075,47.9918,-97.0601,41.0794,-95.8667,45.2469,-71.1337,40.4877,-74.2552,,,36.0624,-114.3292,43.2482,-79.0604,39.5549,-81.0352,34.1254,-98.557,46.1513,-123.3765,41.3933,-74.707,42.0064,-71.7984,33.0777,-81.601,42.4772,-96.4806,36.1323,-82.245,29.9169,-104.6777,,,37.0442,-82.736,44.9123,-71.4949,46.3384,-117.0277,45.1995,-87.41,39.6935,-78.1732,,
69.3028,-165.2399,30.6745,-87.4072,33.8328,-91.0341,32.7584,-114.5393,34.8454,-114.597,,,41.6832,-71.7874,39.5713,-75.5118,30.5895,-82.5595,34.1254,-82.6831,21.8857,-160.3922,41.4067,-91.0451,46.6984,-114.7549,38.2414,-87.9758,38.2695,-85.751,39.8971,-95.0098,37.6653,-82.2121,32.315,-90.9064,41.6616,-71.1351,37.9529,-75.7288,46.0989,-70.2589,46.5343,-84.2253,45.6083,-92.8482,38.9893,-90.6812,30.5232,-89.7748,44.5905,-113.0713,34.9918,-83.6183,48.1267,-97.126,41.2923,-95.8722,45.2846,-71.1145,40.4762,-74.2264,,,36.1024,-114.3237,43.2812,-79.0837,39.6565,-80.8374,34.0618,-98.4746,46.1494,-123.3051,41.2282,-74.8608,41.675,-71.7874,33.1238,-81.7122,42.7299,-96.6289,36.1168,-82.3521,29.7644,-104.5679,,,37.2664,-82.3494,44.8296,-71.5567,46.2848,-116.9879,45.0784,-87.4443,39.5972,-77.8835,,
69.1782,-166.8768,30.4404,-87.3688,33.9399,-91.0863,32.8167,-114.5095,34.789,-114.5682,,,41.4165,-71.7984,39.6284,-75.5557,30.5682,-82.2134,34.014,-82.5952,21.6025,-160.3249,41.451,-90.7086,46.6325,-114.5874,38.1454,-87.9291,38.2824,-85.8266,39.876,-95.0922,37.8618,-82.4016,32.2616,-90.9723,41.6124,-71.1433,37.9117,-75.8084,46.1342,-70.2466,46.5404,-84.1951,45.8307,-92.7356,38.8697,-90.5878,30.6663,-89.8531,44.7389,-113.1152,34.9918,-84.3201,48.2859,-97.1109,41.4458,-95.9354,45.3058,-71.0843,40.5253,-73.9503,,,36.1434,-114.3896,43.4509,-79.2004,39.8676,-80.7948,34.1414,-98.3743,46.1874,-123.1512,40.983,-75.1355,41.453,-71.7984,33.2065,-81.8289,43.0046,-96.5039,36.0702,-82.4167,29.6475,-104.528,,,37.3046,-82.3027,44.7506,-71.6281,46.2388,-116.9577,45.0987,-87.6379,39.4987,-77.7859,,
68.3344,-168.0414,30.1463,-87.524,34.0208,-90.9256,32.845,-114.4696,34.7269,-114.4968,,,41.3892,-71.8341,39.8106,-75.3937,30.5315,-82.2134,33.8647,-82.3988,21.7276,-159.9939,41.5178,-90.4793,46.6325,-114.4638,37.9788,-88.0225,38.2414,-85.8376,39.9445,-95.2213,37.9908,-82.5073,32.1942,-91.0464,41.5939,-71.131,37.9095,-75.9512,46.1903,-70.2905,46.5272,-84.1779,45.976,-92.5159,38.9722,-90.4504,30.9988,-89.7377,44.8091,-113.2471,35.2131,-84.2885,48.4301,-97.1233,41.5261,-95.9999,44.923,-71.0527,40.4846,-73.8885,,,36.129,-114.5105,43.6311,-78.6909,40.5941,-80.652,34.1118,-98.1793,46.138,-123.0222,40.8554,-75.049,41.3943,-71.8492,33.3443,-81.9319,43.1331,-96.438,35.9669,-82.5389,29.5603,-104.4044,,,37.5054,-82.0136,44.7077,-71.6061,46.2022,-116.9659,45.2217,-87.6956,39.3279,-77.731,,
67.6844,-165.9155,30.1546,-88.3864,34.0856,-90.9036,32.9107,-114.4817,34.6648,-114.4501,,,41.3273,-71.8526,39.8249,-75.4692,30.3883,-82.1997,33.7563,-82.2505,21.6932,-159.4295,41.5908,-90.3419,46.6466,-114.3279,37.89,-88.0458,38.0967,-85.9035,40.0087,-95.3036,38.1778,-82.6392,32.1198,-91.0739,41.4973,-71.1214,37.9464,-75.943,46.271,-70.2466,46.5348,-84.1347,46.0151,-92.3566,38.8868,-90.1813,30.9988,-91.6287,44.7887,-113.3459,35.268,-84.2226,48.553,-97.1425,41.638,-96.0988,44.3592,-71.0143,40.0045,-73.9352,,,36.1467,-114.5215,43.6321,-76.7958,40.6223,-80.5188,34.006,-98.0818,46.098,-122.9398,40.6806,-75.1904,41.3315,-71.852,33.483,-82.028,43.2262,-96.5561,35.9702,-82.6076,29.4719,-104.2067,,,37.538,-81.9681,44.6481,-71.5677,46.1722,-116.9254,45.3367,-87.6462,39.1279,-77.8271,,
67.2933,-164.6082,31.8939,-88.4743,34.1345,-90.9586,32.9741,-114.4803,34.6581,-114.4597,,,41.3309,-71.8938,39.8296,-75.6477,30.3598,-82.1544,33.6695,-82.2217,21.1037,-158.1784,41.7457,-90.2788,46.5135,-114.343,37.7881,-88.0321,38.0232,-85.92,40.0024,-102.0506,38.3761,-82.5952,32.0593,-91.0464,41.3149,-71.0266,37.9529,-76.0584,46.327,-70.204,46.5041,-84.1113,46.0789,-92.2934,38.8269,-90.1154,31.0341,-91.5601,44.9386,-113.497,35.231,-84.1113,48.6765,-97.0999,41.7703,-96.0686,43.7364,-70.984,39.6131,-74.041,,,36.1556,-114.5654,43.9987,-76.4978,42.321,-80.5229,33.8966,-97.9843,46.0551,-122.8848,40.5639,-75.2124,41.3057,-71.9041,33.586,-82.1475,43.3841,-96.5259,36.0602,-82.6378,29.3834,-104.1559,,,37.5139,-81.9259,44.5817,-71.5388,46.1432,-116.9357,45.3869,-87.6956,39.4563,-78.3421,,
66.7789,-164.0149,34.8938,-88.1021,34.1675,-90.9132,33.0317,-114.5256,34.5869,-114.4322,,,41.3103,-71.9302,39.7199,-75.7906,30.3598,-82.0638,33.5963,-82.1558,20.8152,-157.4629,41.8164,-90.2074,46.453,-114.3896,37.6349,-88.1529,37.9594,-86.0477,,,38.503,-82.7477,31.9918,-91.1014,41.159,-70.8316,37.8889,-76.2396,46.4151,-70.0571,46.4189,-84.1457,46.5957,-92.2879,38.7155,-90.1978,31.1106,-91.6273,45.0269,-113.4229,35.2815,-84.0454,48.7326,-97.1356,41.8368,-96.1084,43.5704,-70.9731,39.4744,-74.2209,,,36.1334,-114.6204,44.0965,-76.4388,42.2153,-81.2521,33.8487,-97.8662,45.9588,-122.8189,40.5743,-75.1025,41.1849,-71.7915,33.6878,-82.2437,43.4848,-96.6138,35.9925,-82.7751,29.2948,-103.9774,,,37.4889,-81.9707,44.5533,-71.6006,46.1009,-116.9584,45.3425,-87.8549,39.3407,-78.3408,,
66.581,-165.7507,34.9479,-88.1721,34.138,-90.8501,33.0259,-114.6094,34.5235,-114.3787,,,41.2907,-72.0195,,,30.4877,-82.0226,33.5036,-82.0432,20.6803,-157.2171,41.9023,-90.1538,46.3488,-114.4144,37.5097,-88.0609,38.0102,-86.0944,,,38.5825,-82.8369,31.9498,-91.1865,41.1662,-69.9225,37.9474,-76.3454,46.6956,-69.9994,46.372,-84.1395,47.3072,-90.6564,38.4149,-90.3186,31.1658,-91.5916,45.2749,-113.7085,35.4058,-84.0248,48.7951,-97.1727,41.9677,-96.1372,43.3621,-70.9813,38.9882,-74.6713,,,36.1157,-114.6863,44.1349,-76.3536,41.9962,-81.6806,33.9798,-97.6932,45.9053,-122.8162,40.5013,-75.06,41.2665,-71.4084,33.7609,-82.2437,43.4998,-96.4558,35.9169,-82.8177,29.2804,-103.9128,,,37.4563,-81.98,44.5308,-71.5746,46.0785,-116.9762,45.4813,-87.7945,39.1918,-78.4341,,
